Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
2000,18-Jun-00,Madison,N,10,C,M,Tenmile Pond,Madison,Aft,1645,Wading,,N,Right foot,M,E,3,,,,N,N,Florida,N
2000,22-Jun-00,San Mateo,N,41,A,F,Unnamed pond,Putnam,Mor,1100,Landscaping,,N,Left leg,L,M,6,2,,,N,Y,Florida,
2000,11-Jul-00,Punta Gorda,N,14,T,M,Preachers Lake,Charlotte,Aft,1730,Swimming,N,N,Legs,M,M,9,5,350,M,N,Y,Florida,
2000,16-Jul-00,Keaton Beach,N,31,A,M,Blue Springs Lake,Taylor,Aft,1715,Swimming,,Y,Right forearm,L,E,5,,,,N,Y,Florida,
2000,19-Jul-00,Silver Springs,N,40,A,M,Silver River,Marion,Eve,1910,Snorkeling,N,N,Right foot and ankle,M,E,12,,,,Y,Y,Florida,N
2000,02-Aug-00,Port Charlotte,N,74,A,M,Unnamed canal,Charlotte,Mor,1100,Wading,N,N,Leg,L,E,2,,,,N,Y,Florida,
2000,04-Aug-00,Port Charlotte,N,76,A,M,Unnamed canal,Charlotte,Mor,1150,Feeding,Y,N,Finger,M,M,5,6,35,,Y,Y,Florida,
2000,16-Aug-00,Woodville,D,27,A,M,Wakulla Springs,Wakulla,Aft,1450,Swimming,N,N,"Neck and shoulder, right hand and arm",M,M,7,7,150,M,Y,Y,Florida,
2000,24-Sep-00,Palmdale,N,33,A,M,Fisheating Creek,Glades,Mor,715,Swimming,N,N,Head and arm,M,M,10,1,275,M,N,Y,Florida,
2000,29-Sep-00,Okeechobee,N,55,A,M,Lake Okeechobee - Okeechobee,Okeechobee,Aft,1500,Swimming,,N,Left shoulder and middle of back,M,M,9,2,150,M,N,Y,Florida,Y
2000,14-Nov-00,North Ft. Myers,N,27,A,M,Unnamed pond,Lee,Mor,600,Swimming,N,N,Buttocks and hip,M,M,6,9,60,M,N,Y,Florida,
2001,24-Feb-01,Clewiston,N,52,A,M,Sugarland Canal,Hendry,Mor,1000,Other,N,N,Thigh and lower leg,M,E,7,,,,N,Y,Florida,N
2001,25-Feb-01,Everglades City,N,,A,F,Seetwater Bay,Collier,,,Boating,N,N,Ankle,M,,,,,,,Y,,
2001,18-Mar-01,Venice,N,39,A,M,Unnamed pond,Sarasota,Aft,1600,Diving,N,N,Hand and fingers,L,E,7,,,,Y,Y,Florida,
2001,04-Apr-01,Venice,F,70,A,M,Unnamed retention pond,Sarasota,Mor,900,,,,"Arms, hands, chest, and head",H,M,8,4,130,F,,,Florida,Y
2001,14-Apr-01,Davenport,N,34,A,M,Unnamed lake,Polk,Aft,1430,Other,,,Toe,M,,,,,,,Y,Florida,
